timestamp,output[0],output[1],output[2],output[3],output[4],output[5]
652339789,1126,1138,1110,1124,1139,1149
652439801,1117,1133,1109,1126,1144,1156
652542987,1125,1138,1114,1129,1134,1146
652642999,1132,1132,1120,1122,1139,1138
652743019,1110,1136,1104,1131,1143,1164
652846208,1135,1140,1116,1124,1132,1138
652946222,1124,1132,1115,1125,1141,1147
653049396,1120,1138,1106,1125,1141,1156
653149419,1123,1131,1110,1119,1149,1152
653252590,1120,1131,1108,1121,1149,1156
653356588,1119,1129,1111,1122,1149,1155
653459827,1131,1137,1115,1123,1137,1142
653559816,1116,1136,1106,1127,1143,1159
653663814,1128,1125,1119,1118,1149,1143
653763000,1127,1134,1113,1123,1141,1146
653862991,1114,1140,1104,1132,1138,1161
653966202,1141,1126,1124,1111,1147,1130
654066200,1124,1122,1116,1116,1155,1149
654169392,1110,1139,1105,1135,1138,1163
654269414,1127,1134,1113,1122,1142,1147
654373384,1130,1125,1120,1116,1149,1141
654472632,1123,1144,1108,1130,1132,1151
654576642,1131,1132,1118,1120,1141,1140
654675815,1123,1130,1112,1121,1147,1151
654779792,1133,1141,1113,1124,1132,1141
654878992,1112,1135,1104,1128,1145,1163
654982984,1118,1130,1112,1125,1146,1154
655082995,1133,1133,1118,1120,1140,1139
655186217,1115,1132,1103,1123,1150,1163
655286207,1132,1137,1126,1132,1126,1131
655389421,1147,1147,1149,1149,1165,1163
655489392,1179,1201,1187,1209,1190,1211
655588584,1211,1242,1255,1281,1245,1272
655692603,1262,1318,1284,1337,1259,1315
655792607,1297,1339,1349,1384,1316,1356
655895798,1342,1374,1414,1435,1353,1382
655995801,1355,1399,1427,1462,1357,1401
656099004,1369,1398,1430,1450,1364,1393
656199018,1302,1360,1396,1441,1367,1416
656302199,1364,1400,1442,1467,1304,1348
656402209,1305,1362,1453,1490,1357,1408
656505388,1338,1408,1426,1484,1328,1399
656605387,1356,1429,1424,1488,1292,1374
656705424,1337,1409,1417,1478,1335,1407
656808609,1323,1385,1445,1490,1355,1412
656908609,1384,1425,1440,1474,1313,1364
657011807,1332,1378,1441,1472,1371,1412
657111810,1342,1396,1458,1496,1375,1424
657214997,1353,1418,1465,1514,1330,1398
657314989,1363,1410,1462,1495,1354,1402
657418994,1337,1391,1442,1481,1383,1431
657518199,1380,1430,1426,1470,1337,1394
657622206,1337,1373,1452,1473,1388,1417
657721419,1350,1386,1434,1458,1388,1418
657825435,1386,1423,1433,1464,1343,1386
657924593,1351,1402,1435,1474,1357,1407
658024590,1336,1377,1445,1471,1391,1424
658128588,1367,1408,1457,1485,1344,1388
658227809,1364,1403,1451,1478,1358,1398
658331808,1342,1388,1445,1477,1375,1417
658431004,1357,1398,1446,1474,1362,1402
658535011,1358,1387,1466,1480,1366,1394
658634204,1357,1393,1459,1480,1358,1394
658738203,1359,1396,1458,1481,1361,1397
658837389,1365,1398,1451,1472,1368,1400
658941400,1367,1400,1449,1471,1366,1400
659041403,1367,1395,1463,1478,1355,1385
659144598,1344,1398,1457,1495,1356,1409
659244602,1350,1392,1454,1481,1371,1410
659347813,1355,1406,1445,1483,1356,1407
659447820,1363,1408,1454,1487,1351,1398
659546999,1332,1363,1415,1434,1337,1367
659651005,1317,1352,1374,1400,1339,1370
659750997,1355,1391,1420,1446,1351,1387
659854197,1367,1406,1439,1468,1344,1386
659954209,1365,1405,1455,1482,1355,1396
660057396,1363,1403,1450,1477,1366,1405
660157389,1377,1405,1441,1461,1368,1398
660260601,1372,1403,1451,1471,1363,1395
660360606,1370,1388,1448,1455,1380,1397
660460594,1359,1389,1448,1465,1375,1403
660563791,1383,1413,1444,1467,1354,1388
660663799,1383,1410,1450,1467,1346,1378
660766986,1362,1394,1439,1460,1370,1401
660866997,1349,1393,1433,1466,1356,1399
660970999,1397,1419,1471,1483,1328,1360
661070218,1342,1387,1445,1476,1378,1418
661174243,1354,1388,1453,1474,1376,1407
661273401,1382,1421,1447,1478,1332,1378
661377393,1371,1396,1455,1468,1360,1387
661476593,1344,1383,1448,1473,1383,1417
661580588,1377,1401,1441,1455,1326,1356
661679798,1366,1393,1461,1474,1355,1383
661783800,1352,1387,1450,1471,1385,1416
661883789,1363,1396,1451,1471,1366,1398
661983004,1382,1407,1457,1472,1353,1382
662087005,1356,1383,1458,1470,1374,1398
662186203,1369,1405,1459,1483,1352,1391
662290203,1368,1412,1449,1482,1346,1393
662389420,1356,1391,1453,1475,1366,1400
662493392,1356,1401,1455,1486,1354,1399
662592609,1372,1400,1452,1469,1363,1392
662696604,1374,1408,1450,1474,1354,1391
662796605,1359,1388,1465,1480,1364,1393
662899806,1352,1390,1453,1477,1373,1408
