#timestamp tx ty tz qx qy qz qw
1237.6017897600 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
1237.6455481600  0.011669 -0.016466 -0.000154 -0.000041 -0.000076 0.000433 1.000000
1237.6955567700  0.011250 -0.015975 -0.000083 -0.000023 -0.000112 0.000397 1.000000
1237.7455667100  0.011231 -0.015967  0.000247 -0.000025 -0.000065 0.000411 1.000000
1237.7955724000  0.011266 -0.016179  0.000120 -0.000015 -0.000093 0.000415 1.000000
1237.8455737400  0.011426 -0.016570  0.000063 -0.000035 -0.000073 0.000414 1.000000
1237.8955672100  0.011272 -0.015834  0.000824 -0.000011 -0.000118 0.000414 1.000000
1237.9455619100  0.011684 -0.015867  0.000789 -0.000030 -0.000068 0.000411 1.000000
1237.9955632000  0.010568 -0.015962  0.000716 -0.000055 -0.000043 0.000406 1.000000
1238.0455601100  0.011821 -0.016224  0.000765 -0.000060 -0.000120 0.000407 1.000000
1238.0955571900  0.012425 -0.016005  0.000695 -0.000041 -0.000064 0.000417 1.000000
1238.1455502300  0.012405 -0.016122  0.000628 -0.000055 -0.000119 0.000424 1.000000
1238.1955391700  0.011888 -0.015636  0.000185 -0.000015 -0.000118 0.000409 1.000000
1238.2455255500  0.012472 -0.015847  0.000184 -0.000043 -0.000064 0.000408 1.000000
1238.2955138200  0.011262 -0.015899  0.000121 -0.000033 -0.000127 0.000433 1.000000
1238.3454882900  0.011180 -0.015689  0.000271 -0.000029 -0.000066 0.000442 1.000000
1238.3954672000  0.010932 -0.016217  0.000319 -0.000068 -0.000071 0.000420 1.000000
1238.4454338800  0.011187 -0.016200  0.000030 -0.000039 -0.000095 0.000394 1.000000
1238.4954062200  0.011046 -0.015923  0.000394 -0.000041 -0.000089 0.000417 1.000000
1238.5453854700  0.011292 -0.016010  0.000188 -0.000012 -0.000127 0.000425 1.000000
1238.5953576000  0.010421 -0.016313  0.001047 -0.000021 -0.000117 0.000439 1.000000
1238.6453434100  0.010418 -0.015047  0.000830 -0.000023 -0.000084 0.000442 1.000000
1238.6953308000  0.010299 -0.015797  0.000714 -0.000063 -0.000080 0.000419 1.000000
1238.7453268300  0.010639 -0.015856  0.001108 -0.000078 -0.000144 0.000406 1.000000
1238.7953342300  0.010763 -0.017011  0.000519 -0.000023 -0.000102 0.000410 1.000000
1238.8453418800  0.012506 -0.016347  0.001352 -0.000020 -0.000138 0.000426 1.000000
1238.8953513400  0.011376 -0.015880  0.000439 -0.000037 -0.000121 0.000437 1.000000
1238.9453731200  0.011408 -0.015880  0.001110 0.000013 -0.000171 0.000419 1.000000
1238.9953874600  0.012344 -0.016035  0.000556 -0.000019 -0.000227 0.000417 1.000000
1239.0454097100  0.012264 -0.015659  0.000648 -0.000013 -0.000239 0.000407 1.000000
1239.0954161400  0.013822 -0.016248  0.000353 -0.000083 -0.000314 0.000427 1.000000
