#timestamp tx ty tz qx qy qz qw
2846.0003447000 -0.673585 -0.237595 -0.127176 0.099098 -0.001261 0.006398 0.995056
2846.0502998500 -0.672865 -0.238631 -0.126515 0.099061 -0.001253 0.006388 0.995060
2846.1002640100 -0.673099 -0.237992 -0.127047 0.099098 -0.001238 0.006378 0.995056
2846.1502378200 -0.671870 -0.237607 -0.127517 0.099202 -0.001241 0.006376 0.995046
2846.2002209900 -0.672116 -0.238747 -0.127665 0.099106 -0.001251 0.006405 0.995056
2846.2502116100 -0.673218 -0.238434 -0.127276 0.099124 -0.001242 0.006380 0.995054
2846.3002102200 -0.672447 -0.237940 -0.126983 0.099155 -0.001273 0.006391 0.995051
2846.3502074100 -0.672686 -0.238637 -0.127841 0.099095 -0.001277 0.006417 0.995057
2846.4002116000 -0.672482 -0.238032 -0.126756 0.099143 -0.001263 0.006406 0.995052
2846.4502190800 -0.671772 -0.237351 -0.127148 0.099132 -0.001235 0.006388 0.995053
2846.5002376800 -0.672737 -0.237986 -0.126830 0.099147 -0.001235 0.006397 0.995051
2846.5502630700 -0.672223 -0.238202 -0.127187 0.099081 -0.001261 0.006387 0.995058
2846.6002917500 -0.672097 -0.237247 -0.127168 0.099200 -0.001249 0.006385 0.995046
2846.6503285600 -0.673141 -0.237431 -0.126898 0.099184 -0.001252 0.006381 0.995048
2846.7003661300 -0.672002 -0.237335 -0.127289 0.099168 -0.001246 0.006364 0.995050
2846.7504008200 -0.672600 -0.237181 -0.127405 0.099200 -0.001271 0.006389 0.995046
2846.8004353300 -0.672742 -0.237161 -0.127378 0.099150 -0.001242 0.006371 0.995051
2846.8504603500 -0.672687 -0.237556 -0.127362 0.099170 -0.001258 0.006389 0.995049
2846.9004815800 -0.673302 -0.238061 -0.127056 0.099150 -0.001252 0.006396 0.995051
2846.9504855000 -0.672330 -0.238192 -0.127004 0.099151 -0.001279 0.006405 0.995051
2847.0004878700 -0.672139 -0.238576 -0.127131 0.099209 -0.001289 0.006378 0.995045
2847.0504832300 -0.672264 -0.237682 -0.127435 0.099185 -0.001275 0.006396 0.995048
2847.1004599500 -0.672732 -0.237388 -0.127402 0.099156 -0.001280 0.006381 0.995051
2847.1504333100 -0.672229 -0.237991 -0.127659 0.099129 -0.001274 0.006399 0.995053
2847.2004070200 -0.672048 -0.237826 -0.127748 0.099146 -0.001258 0.006400 0.995052
2847.2503708200 -0.672376 -0.237423 -0.127280 0.099159 -0.001276 0.006370 0.995050
2847.3003248200 -0.671839 -0.237399 -0.127311 0.099174 -0.001284 0.006353 0.995049
2847.3502834800 -0.672066 -0.237810 -0.127839 0.099139 -0.001276 0.006402 0.995052
2847.4002499400 -0.671673 -0.237757 -0.127146 0.099176 -0.001274 0.006373 0.995049
2847.4502160200 -0.672136 -0.237405 -0.128271 0.099159 -0.001279 0.006358 0.995050
2847.5001885600 -0.672390 -0.238110 -0.127543 0.099149 -0.001300 0.006389 0.995051
2847.5501630600 -0.671443 -0.236866 -0.127729 0.099168 -0.001255 0.006376 0.995050
2847.6001481200 -0.672362 -0.237269 -0.127221 0.099159 -0.001284 0.006385 0.995050
2847.6501453300 -0.672210 -0.237331 -0.127014 0.099194 -0.001250 0.006369 0.995047
2847.7001511400 -0.672936 -0.236902 -0.126959 0.099156 -0.001273 0.006354 0.995051
2847.7501642200 -0.671789 -0.236899 -0.127347 0.099137 -0.001301 0.006353 0.995053
2847.8001847800 -0.672451 -0.237606 -0.126969 0.099157 -0.001241 0.006364 0.995051
2847.8502062000 -0.671303 -0.237315 -0.126908 0.099160 -0.001255 0.006355 0.995050
2847.9002390200 -0.672126 -0.237640 -0.127232 0.099156 -0.001282 0.006369 0.995051
2847.9502799100 -0.672978 -0.237796 -0.127113 0.099127 -0.001265 0.006394 0.995053
2848.0003154800 -0.671287 -0.237755 -0.128014 0.099166 -0.001286 0.006377 0.995050
2848.0503400700 -0.672693 -0.237625 -0.127429 0.099184 -0.001270 0.006359 0.995048
2848.1003546600 -0.672725 -0.237563 -0.127577 0.099196 -0.001325 0.006366 0.995047
2848.1503551900 -0.672171 -0.237621 -0.127512 0.099146 -0.001266 0.006384 0.995052
2848.2003398200 -0.672578 -0.237419 -0.127659 0.099134 -0.001294 0.006387 0.995053
2848.2503104700 -0.671198 -0.237680 -0.127719 0.099096 -0.001255 0.006394 0.995057
2848.3002794300 -0.672494 -0.237263 -0.127112 0.099143 -0.001260 0.006359 0.995052
2848.3502323400 -0.671840 -0.237526 -0.127822 0.099152 -0.001281 0.006356 0.995051
2848.4001824500 -0.672081 -0.236910 -0.127625 0.099166 -0.001262 0.006369 0.995050
2848.4501391400 -0.671373 -0.237677 -0.127519 0.099104 -0.001278 0.006380 0.995056
2848.5001009000 -0.672474 -0.237881 -0.127424 0.099177 -0.001265 0.006412 0.995048
2848.5500706000 -0.671786 -0.237062 -0.127061 0.099124 -0.001266 0.006363 0.995054
2848.6000609000 -0.671850 -0.237609 -0.127078 0.099172 -0.001261 0.006386 0.995049
2848.6500578700 -0.672311 -0.237386 -0.127554 0.099169 -0.001222 0.006375 0.995049
2848.7000614300 -0.672895 -0.237560 -0.127235 0.099161 -0.001258 0.006382 0.995050
2848.7500776000 -0.672286 -0.237292 -0.127836 0.099138 -0.001252 0.006373 0.995053
2848.8001001100 -0.672782 -0.237964 -0.127170 0.099074 -0.001287 0.006369 0.995059
2848.8501259000 -0.672290 -0.237799 -0.127815 0.099148 -0.001283 0.006384 0.995051
2848.9001528000 -0.672632 -0.237944 -0.127787 0.099124 -0.001257 0.006375 0.995054
2848.9501680900 -0.671045 -0.236951 -0.127941 0.099121 -0.001299 0.006358 0.995054
2849.0001650400 -0.671161 -0.237478 -0.127489 0.099150 -0.001268 0.006363 0.995051
2849.0501592500 -0.673406 -0.237504 -0.128034 0.099178 -0.001234 0.006398 0.995048
2849.1001467600 -0.671790 -0.237677 -0.127265 0.099069 -0.001251 0.006365 0.995059
2849.1501304100 -0.672343 -0.237661 -0.127738 0.099101 -0.001282 0.006396 0.995056
2849.2001164600 -0.671315 -0.237630 -0.127240 0.099108 -0.001281 0.006374 0.995055
2849.2501079000 -0.672706 -0.237626 -0.127377 0.099137 -0.001273 0.006407 0.995052
2849.3000972700 -0.671453 -0.237392 -0.127542 0.099129 -0.001233 0.006371 0.995053
2849.3500866200 -0.673534 -0.237679 -0.127452 0.099127 -0.001235 0.006373 0.995054
2849.4000804000 -0.671323 -0.238048 -0.127521 0.099127 -0.001274 0.006363 0.995054
2849.4500692800 -0.671831 -0.237803 -0.127842 0.099201 -0.001258 0.006336 0.995046
2849.5000540400 -0.671826 -0.237465 -0.127400 0.099208 -0.001249 0.006365 0.995046
2849.5500426800 -0.672084 -0.238062 -0.127737 0.099103 -0.001299 0.006415 0.995056
2849.6000344600 -0.671844 -0.237924 -0.127437 0.099154 -0.001259 0.006397 0.995051
2849.6500309600 -0.672379 -0.238388 -0.127495 0.099148 -0.001240 0.006396 0.995051
2849.7000348400 -0.671882 -0.237279 -0.127503 0.099189 -0.001195 0.006377 0.995047
2849.7500437000 -0.672010 -0.238231 -0.127132 0.099144 -0.001305 0.006365 0.995052
2849.8000576900 -0.672954 -0.237825 -0.126974 0.099200 -0.001259 0.006368 0.995046
2849.8500714900 -0.672335 -0.238042 -0.127256 0.099188 -0.001305 0.006402 0.995047
2849.9000849100 -0.671471 -0.237833 -0.127599 0.099142 -0.001248 0.006400 0.995052
2849.9500953700 -0.672042 -0.238311 -0.127632 0.099203 -0.001234 0.006402 0.995046
