#timestamp tx ty tz qx qy qz qw
2089.2819270300 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
2089.3662391300 0.000733 0.000867 0.010075 -0.000136 0.001701 0.000678 0.999998
2089.4661710200  0.011002 -0.002838  0.003374 -0.000040 0.001677 0.000699 0.999998
2089.5661169100  0.010920 -0.005818  0.013667 -0.000483 0.002180 0.001151 0.999997
2089.6660544000 -0.010342  0.007507  0.010603 -0.000375 0.002677 0.000957 0.999996
2089.7660427200 -0.012484 -0.004280  0.008150 0.000143 0.002308 0.000491 0.999997
2089.8660859700 -0.005827  0.008043 -0.001210 0.001367 0.002348 -0.000405 0.999996
2089.9661437900 -0.000184 -0.013957 -0.003156 0.002387 0.002709 -0.001168 0.999993
2090.0661917200 0.018153 0.001869 0.002671 0.003294 0.003589 -0.001470 0.999987
2090.1661957900  0.015932 -0.011029  0.003158 0.003486 0.004814 -0.000943 0.999982
2090.2662092200  0.008423 -0.006413  0.004391 0.003199 0.006259 -0.001569 0.999974
2090.3662126000 0.006849 0.005756 0.003198 0.002993 0.007529 -0.002232 0.999965
2090.4661704700  0.017125 -0.007955  0.007203 0.002630 0.009282 -0.002523 0.999950
2090.5660907500  0.024113  0.002269 -0.000893 0.001984 0.010246 -0.002150 0.999943
2090.6659937300 0.027459 0.012918 0.006124 0.002156 0.009553 -0.001741 0.999951
2090.7659119100  0.018995 -0.014491  0.005869 0.001656 0.007611 -0.001198 0.999969
2090.8658574600 0.029721 0.002470 0.009251 0.001619 0.005330 -0.000385 0.999984
2090.9658627900  0.035020 -0.003249  0.009466 0.000893 0.001567 0.000758 0.999998
2091.0658723700  0.036773 -0.004074  0.027507 -0.000124 0.000265 0.002764 0.999996
2091.1659061300  0.039045 -0.013968  0.018174 -0.001698 0.001217 0.005473 0.999983
2091.2660171000  0.041985 -0.017893  0.014953 -0.003953 0.003235 0.005762 0.999970
2091.3662041100  0.055808 -0.023219  0.018337 -0.005012 0.005190 0.005164 0.999961
2091.4662988200  0.086079 -0.038698  0.068522 -0.002935 0.003234 0.006367 0.999970
2091.5662354900  0.130537 -0.051272  0.132553 -0.000111 0.001648 0.012428 0.999921
