#timestamp tx ty tz qx qy qz qw
2751.0632641900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
2751.1038811900 -0.001972  0.006301  0.004447 0.000327 0.000483 0.000232 1.000000
2751.2038572700 -0.005798  0.006644  0.004752 0.000261 0.000501 0.000300 1.000000
2751.3038682200 -0.003298  0.005906  0.004084 0.000336 0.000510 0.000232 1.000000
2751.4039202900 -0.002958  0.006650  0.004888 0.000152 0.000574 0.000168 1.000000
2751.5040032700 -0.004852  0.006607  0.004467 0.000330 0.000507 0.000199 1.000000
2751.6040629200 -0.005308  0.006106  0.004281 0.000285 0.000516 0.000151 1.000000
2751.7041056200 -0.002728  0.006563  0.004915 0.000133 0.000591 0.000104 1.000000
2751.8041063900 -0.002422  0.006410  0.004114 0.000354 0.000587 0.000082 1.000000
2751.9040686400 -0.005981  0.006489  0.004419 0.000237 0.000599 0.000083 1.000000
2752.0039861400 -0.003653  0.006802  0.004125 0.000309 0.000561 0.000065 1.000000
2752.1038896500 -0.001712  0.006849  0.004887 0.000337 0.000651 0.000081 1.000000
2752.2037956800 -0.002157  0.006657  0.004769 0.000199 0.000651 0.000019 1.000000
2752.3037394100 -0.004278  0.006485  0.004413 0.000275 0.000619 0.000081 1.000000
2752.4037543800 -0.001739  0.006696  0.004271 0.000352 0.000582 0.000046 1.000000
2752.5038229900 -0.001917  0.006396  0.004418 0.000311 0.000622 0.000088 1.000000
2752.6039071300 -0.003481  0.006284  0.004118 0.000199 0.000584 0.000070 1.000000
2752.7039370800 -0.005338  0.006112  0.004461 0.000300 0.000608 0.000107 1.000000
2752.8039139300 -0.000297  0.006218  0.004631 0.000336 0.000619 0.000103 1.000000
2752.9039515800 -0.002426  0.006271  0.004509 0.000353 0.000598 0.000038 1.000000
2753.0039697800 -0.004831  0.007240  0.004299 0.000418 0.000600 0.000029 1.000000
2753.1040124600 -0.004108  0.006722  0.004581 0.000301 0.000559 0.000052 1.000000
