#timestamp tx ty tz qx qy qz qw
284.3404321900 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
284.3435551400 -0.028319 -0.139877 -0.046347 -0.001989 0.003602 -0.008161 0.999958
284.4436375300 -0.027775 -0.142453 -0.048946 -0.002578 0.005331 -0.008748 0.999944
284.5436633600 -0.027289 -0.139754 -0.050766 -0.002597 0.005819 -0.009521 0.999934
284.6435162900 -0.023181 -0.147074 -0.053034 -0.001866 0.004932 -0.009701 0.999939
284.7433180400 -0.024992 -0.144391 -0.053566 -0.000970 0.003068 -0.008430 0.999959
284.8431149700 -0.028272 -0.142832 -0.048975 -0.000522 0.000375 -0.006883 0.999976
284.9429904900 -0.032484 -0.145092 -0.048436 -0.001039 -0.002047 -0.005499 0.999982
285.0429213200 -0.034412 -0.146480 -0.047204 -0.001519 -0.003613 -0.004516 0.999982
285.1428770800 -0.037701 -0.144208 -0.051613 -0.001041 -0.003086 -0.004407 0.999985
285.2428663800 -0.043910 -0.151117 -0.055496 0.000824 -0.002272 -0.006460 0.999976
285.3429325800 -0.038836 -0.158623 -0.054343 0.002911 -0.002248 -0.008700 0.999955
285.4429496900 -0.036177 -0.161905 -0.053659 0.004587 -0.002754 -0.009793 0.999938
285.5428910200 -0.037670 -0.167431 -0.052510 0.005788 -0.003683 -0.010258 0.999924
285.6428794300 -0.042942 -0.170475 -0.050326 0.006268 -0.004759 -0.010781 0.999911
285.7428996700 -0.047840 -0.175302 -0.049994 0.006261 -0.005970 -0.012590 0.999883
285.8429922400 -0.048514 -0.175208 -0.048704 0.005868 -0.007440 -0.013892 0.999859
285.9430374700 -0.044921 -0.175034 -0.048042 0.005376 -0.008492 -0.013948 0.999852
286.0430519600 -0.047696 -0.173423 -0.044340 0.004103 -0.008871 -0.013112 0.999866
286.1430249400 -0.044189 -0.174619 -0.044233 0.001979 -0.008341 -0.011833 0.999893
286.2429286100 -0.044846 -0.166981 -0.048371 0.000038 -0.007961 -0.009683 0.999921
286.3428069700 -0.050075 -0.166979 -0.052649 -0.000820 -0.008228 -0.007745 0.999936
286.4427302200 -0.054075 -0.165999 -0.052850 -0.000752 -0.008606 -0.006170 0.999944
286.5427028100 -0.054999 -0.169956 -0.055217 -0.000369 -0.009498 -0.005420 0.999940
286.6426280600 -0.059548 -0.172128 -0.055168 0.000483 -0.010922 -0.004943 0.999928
286.7426546500 -0.069126 -0.167174 -0.047671 0.000715 -0.011696 -0.006727 0.999909
286.8427759400 -0.069799 -0.167478 -0.046043 -0.001364 -0.012029 -0.010150 0.999875
286.9428154100 -0.063639 -0.161376 -0.056225 -0.001738 -0.012163 -0.012426 0.999847
287.0427566600 -0.060084 -0.161816 -0.054405 -0.000820 -0.012364 -0.014337 0.999820
287.1427263400 -0.051851 -0.154632 -0.038366 -0.001203 -0.008721 -0.017000 0.999817
287.2427092000 -0.034779 -0.145728 -0.011255 -0.002811 0.004920 -0.020799 0.999768
287.3427068200 -0.007676 -0.144443  0.010887 -0.005470 0.021197 -0.026627 0.999406
287.4428029100  0.007902 -0.147912  0.021173 -0.007458 0.031252 -0.034702 0.998881
287.5429703300  0.024822 -0.153317  0.033046 -0.006997 0.031897 -0.043754 0.998509
287.6430462700  0.039145 -0.158787  0.062991 -0.003935 0.028986 -0.049002 0.998370
287.7429195200  0.046071 -0.166552  0.092341 -0.001241 0.020952 -0.049578 0.998550
287.8426692400  0.040206 -0.172830  0.123082 0.000529 0.002840 -0.045733 0.998950
287.9423751300  0.031323 -0.168987  0.157129 0.002489 -0.014692 -0.036771 0.999213
288.0420781600  0.021755 -0.163621  0.194695 0.003007 -0.022354 -0.024239 0.999452
288.1419142200  0.012428 -0.165082  0.220043 0.002764 -0.023685 -0.013097 0.999630
288.2420277300 -0.007540 -0.164855  0.239633 0.001553 -0.025519 -0.007228 0.999647
288.3423956100 -0.026779 -0.161554  0.240964 -0.001550 -0.028071 -0.008501 0.999569
288.4429328200 -0.032349 -0.160536  0.215282 -0.003851 -0.029845 -0.013335 0.999458
288.5433418300 -0.034384 -0.154971  0.188763 -0.006362 -0.029667 -0.018383 0.999371
288.6435472100 -0.037465 -0.148046  0.160874 -0.010748 -0.029159 -0.024133 0.999226
288.7436246500 -0.036844 -0.145417  0.115745 -0.012948 -0.026741 -0.031430 0.999064
288.8435241500 -0.014937 -0.142683  0.069625 -0.012528 -0.020280 -0.035904 0.999071
288.9432046800  0.013058 -0.140838  0.023984 -0.011381 -0.008324 -0.034219 0.999315
289.0427011000  0.038843 -0.144409  0.004745 -0.009456 0.005226 -0.028370 0.999539
289.1423142600  0.049626 -0.145696  0.023672 -0.011416 0.014448 -0.022477 0.999578
289.2422030700  0.053400 -0.151813  0.042386 -0.012021 0.015690 -0.019468 0.999615
289.3422794800  0.051716 -0.163184  0.086259 -0.005408 0.009676 -0.017867 0.999779
289.4424472200  0.057697 -0.175267  0.140240 0.004304 0.004363 -0.014619 0.999874
289.5425435700  0.075837 -0.191957  0.197397 0.013466 -0.001399 -0.007372 0.999881
289.6425370100  0.087658 -0.195261  0.250734 0.019242 -0.006658 0.003825 0.999785
289.7425025200  0.071630 -0.204249  0.282951 0.019590 -0.016007 0.013394 0.999590
289.8426137900  0.030498 -0.199050  0.265805 0.017042 -0.027216 0.015349 0.999366
289.9429099500  0.003480 -0.195530  0.221340 0.015883 -0.032887 0.009883 0.999284
290.0431859400 -0.004898 -0.187556  0.174120 0.015592 -0.027096 0.001001 0.999511
290.1434414200 -0.000581 -0.183621  0.129884 0.014775 -0.017429 -0.010238 0.999687
290.2435415500  0.016871 -0.185753  0.090323 0.013200 -0.007934 -0.021007 0.999661
290.3434200500  0.035191 -0.183281  0.061067 0.010745 0.001191 -0.027409 0.999566
290.4430129800  0.057445 -0.177927  0.044851 0.007388 0.011247 -0.028503 0.999503
290.5425092900  0.078627 -0.180052  0.055512 0.001959 0.020659 -0.025546 0.999458
290.6420089000  0.086236 -0.177567  0.078532 -0.005416 0.025270 -0.022106 0.999422
290.7417516600  0.088913 -0.173751  0.114532 -0.009510 0.023236 -0.019008 0.999504
290.8416511600  0.101182 -0.174026  0.152665 -0.008038 0.024887 -0.014628 0.999551
290.9416785000  0.119924 -0.185095  0.193490 -0.003803 0.027084 -0.008222 0.999592
291.0417848100  0.130537 -0.192343  0.227733 -0.000146 0.026372 -0.000645 0.999652
291.1420549100  0.124351 -0.193957  0.233815 0.002237 0.023912 0.004120 0.999703
291.2424651100  0.103770 -0.195708  0.211378 0.004362 0.021210 0.002451 0.999763
291.3428926600  0.086258 -0.193444  0.182933 0.005891 0.019757 -0.003735 0.999780
291.4431823000  0.083395 -0.189018  0.150323 0.004646 0.022274 -0.011861 0.999671
291.5432837800  0.088042 -0.183092  0.106201 0.002439 0.026022 -0.019245 0.999473
291.6432645500  0.092034 -0.178910  0.046940 0.002818 0.026772 -0.024154 0.999346
291.7430932200  0.100542 -0.186308  0.004259 0.005353 0.023681 -0.025137 0.999389
291.8427672500  0.110165 -0.178703 -0.023920 0.007160 0.021271 -0.020263 0.999543
291.9422909200  0.105470 -0.175983 -0.052453 0.008740 0.020752 -0.011445 0.999681
292.0418551300  0.094398 -0.176236 -0.069325 0.012245 0.018406 -0.001798 0.999754
292.1416266500  0.078962 -0.173314 -0.038500 0.014100 0.014673 0.005242 0.999779
292.2416110900  0.057027 -0.170349  0.017612 0.011529 0.008802 0.007421 0.999867
292.3418569200  0.053910 -0.172139  0.066652 0.008779 0.004512 0.005036 0.999939
292.4421499600  0.064429 -0.176116  0.113849 0.007004 -0.006261 0.001789 0.999954
