#timestamp tx ty tz qx qy qz qw
149.5796345100 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 1.000000
149.6483625800 -0.001523 -0.003002  0.001822 0.000383 -0.000312 -0.001362 0.999999
149.7482957000 -0.003911 -0.003385  0.004761 -0.000127 0.000109 -0.002931 0.999996
149.8482886800 -0.007393 -0.001287  0.003490 -0.001275 0.000508 -0.005925 0.999982
149.9483260000 -0.008661 -0.002192  0.002485 -0.002000 0.001343 -0.010280 0.999944
150.0483820900 -0.002886 -0.002615 -0.000676 -0.001608 0.002231 -0.014805 0.999887
150.1483279000  0.001533 -0.000933 -0.000218 -0.000701 0.002417 -0.017741 0.999839
150.2482008400 -0.000643 -0.006014 -0.000869 0.000685 0.002047 -0.020222 0.999793
150.3481311900  0.001508 -0.011736 -0.003472 0.003245 0.002201 -0.022789 0.999733
150.4481194700  0.002374 -0.017514 -0.004594 0.006573 0.002637 -0.025140 0.999659
150.5481387700  0.000970 -0.019994 -0.008192 0.009815 0.000224 -0.027618 0.999570
150.6481726500 -0.007660 -0.019881 -0.002689 0.013823 -0.010315 -0.030349 0.999391
150.7482209000 -0.025755 -0.028418  0.017489 0.016070 -0.025640 -0.033168 0.998992
150.8482344000 -0.030540 -0.041925  0.054883 0.013986 -0.031331 -0.036508 0.998744
150.9483136300 -0.028255 -0.044889  0.079902 0.006884 -0.025797 -0.042326 0.998747
151.0483809100 -0.035336 -0.041788  0.085977 -0.002210 -0.026072 -0.052371 0.998285
151.1485541600 -0.041966 -0.041578  0.088686 -0.009318 -0.035566 -0.065958 0.997145
151.2486581300 -0.045257 -0.057141  0.097292 -0.013493 -0.048613 -0.080615 0.995468
151.3487011200 -0.053499 -0.078702  0.109494 -0.012712 -0.055469 -0.096764 0.993679
151.4487565700 -0.056420 -0.094156  0.120092 -0.006973 -0.056956 -0.116292 0.991556
151.5487833200 -0.054658 -0.107105  0.135231 0.001133 -0.057398 -0.136183 0.989019
151.6486802500 -0.048503 -0.118918  0.153348 0.007873 -0.056912 -0.153481 0.986480
151.7484406600 -0.038852 -0.127117  0.171700 0.012352 -0.054695 -0.166934 0.984372
151.8480784000 -0.034086 -0.134437  0.187924 0.013882 -0.051221 -0.176871 0.982802
151.9476788900 -0.029746 -0.133892  0.202369 0.012976 -0.046445 -0.184399 0.981668
152.0473840700 -0.030292 -0.132054  0.212394 0.011268 -0.040565 -0.191189 0.980650
152.1471612800 -0.027250 -0.130597  0.212806 0.010691 -0.035753 -0.197224 0.979648
152.2471265100 -0.032630 -0.126153  0.215223 0.012083 -0.036977 -0.202585 0.978492
152.3471953900 -0.041616 -0.126568  0.218753 0.014563 -0.042044 -0.207450 0.977233
152.4473317400 -0.050462 -0.119660  0.231708 0.014660 -0.050464 -0.211228 0.976023
152.5474963100 -0.051449 -0.121827  0.252696 0.012950 -0.056313 -0.211359 0.975699
152.6475998800 -0.048294 -0.123351  0.279480 0.007585 -0.054516 -0.207188 0.976752
152.7476238200 -0.047252 -0.120470  0.292098 0.000130 -0.048879 -0.201896 0.978187
152.8476378100 -0.049189 -0.116844  0.288967 -0.004377 -0.046693 -0.197897 0.979100
152.9477670200 -0.056934 -0.112058  0.286233 -0.003397 -0.050338 -0.195562 0.979393
153.0479672600 -0.071726 -0.108612  0.296059 0.000490 -0.059223 -0.194199 0.979173
153.1481766100 -0.085677 -0.111010  0.309227 0.003285 -0.066847 -0.192688 0.978975
153.2483172600 -0.100124 -0.115326  0.314191 0.004701 -0.070144 -0.191910 0.978891
153.3483880400 -0.106511 -0.115543  0.313452 0.005940 -0.068282 -0.192704 0.978860
153.4483957400 -0.098212 -0.126661  0.312707 0.007209 -0.059127 -0.193625 0.979266
153.5482882700 -0.090074 -0.130751  0.304209 0.010077 -0.048419 -0.194849 0.979586
153.6481293100 -0.090708 -0.124878  0.303143 0.012236 -0.048990 -0.196113 0.979280
153.7478807400 -0.098172 -0.122613  0.310240 0.011395 -0.057138 -0.194838 0.979103
153.8476066300 -0.099690 -0.115737  0.319518 0.007928 -0.063248 -0.189738 0.979763
153.9473128400 -0.098018 -0.116778  0.325365 0.002629 -0.064318 -0.181216 0.981334
154.0471398100 -0.093995 -0.113729  0.325033 -0.001556 -0.061145 -0.171775 0.983236
154.1470872500 -0.095737 -0.104936  0.321569 -0.004148 -0.060302 -0.164068 0.984595
154.2471945100 -0.106986 -0.096212  0.323576 -0.006341 -0.064604 -0.158055 0.985294
154.3474072000 -0.120562 -0.092631  0.329165 -0.008887 -0.068146 -0.153822 0.985706
154.4476694400 -0.129579 -0.095833  0.332617 -0.010657 -0.066077 -0.151847 0.986135
154.5479560600 -0.138812 -0.096647  0.328183 -0.009310 -0.059939 -0.153707 0.986253
154.6482546900 -0.149366 -0.095414  0.326806 -0.006252 -0.055806 -0.159743 0.985560
154.7484464700 -0.139065 -0.102067  0.324591 -0.002511 -0.054743 -0.164593 0.984838
154.8482834800 -0.123655 -0.114403  0.336866 0.001701 -0.052769 -0.159783 0.985739
154.9478320400 -0.113065 -0.121142  0.344696 0.002517 -0.043727 -0.147591 0.988078
155.0472829200 -0.128376 -0.116066  0.337947 0.001501 -0.041024 -0.136633 0.989771
155.1470809700 -0.160442 -0.110567  0.343213 -0.001253 -0.046429 -0.133270 0.989991
155.2471866100 -0.171091 -0.109476  0.353776 -0.008176 -0.053522 -0.133788 0.989530
155.3474091300 -0.163870 -0.115952  0.360160 -0.013713 -0.058832 -0.130076 0.989662
155.4475368800 -0.154478 -0.130599  0.366133 -0.016734 -0.055093 -0.121691 0.990897
155.5476985100 -0.153523 -0.141603  0.359647 -0.017122 -0.048889 -0.115705 0.991932
155.6479356600 -0.149122 -0.152823  0.354465 -0.015627 -0.046892 -0.111255 0.992562
155.7480714900 -0.151385 -0.164623  0.365217 -0.016944 -0.048946 -0.104501 0.993175
155.8480069500 -0.163889 -0.166843  0.370096 -0.023265 -0.057549 -0.097296 0.993318
155.9478756700 -0.179480 -0.172314  0.368819 -0.028294 -0.066182 -0.092762 0.993083
156.0478867200 -0.184663 -0.178183  0.373491 -0.029837 -0.070370 -0.091352 0.992881
156.1479373700 -0.161264 -0.190288  0.365934 -0.024427 -0.063493 -0.089279 0.993681
156.2479391300 -0.161643 -0.197006  0.357046 -0.014149 -0.055063 -0.087989 0.994498
156.3480459500 -0.165297 -0.204806  0.350904 -0.000359 -0.044445 -0.093592 0.994618
156.4483068500 -0.173905 -0.204119  0.355686 0.011524 -0.034846 -0.107380 0.993540
156.5486186300 -0.174798 -0.192648  0.364391 0.015308 -0.030260 -0.125557 0.991507
156.6486015400 -0.153223 -0.179481  0.373966 0.008430 -0.030080 -0.137816 0.989965
156.7482099000 -0.129264 -0.166714  0.362522 0.002011 -0.029878 -0.140982 0.989559
156.8475876100 -0.128137 -0.155472  0.362535 -0.001138 -0.034378 -0.139969 0.989558
156.9471122300 -0.141474 -0.158232  0.369907 -0.001672 -0.037080 -0.142555 0.989091
157.0470147200 -0.143465 -0.159616  0.396861 -0.000601 -0.038686 -0.150142 0.987907
157.1470572500 -0.134606 -0.165777  0.442761 0.000910 -0.043743 -0.159042 0.986302
157.2471400600 -0.137293 -0.161277  0.514120 0.004007 -0.059488 -0.167003 0.984152
157.3472410400 -0.156536 -0.159544  0.608648 0.004665 -0.081031 -0.172554 0.981650
157.4473308700 -0.184824 -0.163781  0.693462 0.002633 -0.100625 -0.178602 0.978759
157.5475131900 -0.196382 -0.171722  0.755727 0.004020 -0.111138 -0.184873 0.976450
157.6476751000 -0.188507 -0.184829  0.774859 0.009900 -0.109431 -0.189411 0.975731
157.7476922900 -0.169021 -0.201518  0.734574 0.017335 -0.099450 -0.191809 0.976227
157.8476431300 -0.148881 -0.218991  0.652601 0.027104 -0.085776 -0.193513 0.976965
157.9475674700 -0.127961 -0.242718  0.573535 0.038262 -0.067718 -0.194000 0.977913
158.0474731500 -0.116220 -0.249897  0.506508 0.044831 -0.047813 -0.193537 0.978901
158.1474156400 -0.121568 -0.247381  0.437079 0.047693 -0.033995 -0.195833 0.978887
158.2474662000 -0.131903 -0.243913  0.402696 0.047140 -0.028379 -0.200496 0.978148
158.3474585000 -0.114226 -0.242769  0.406295 0.041688 -0.021594 -0.198988 0.978877
158.4471979900 -0.097432 -0.234087  0.438341 0.033816 -0.020252 -0.190579 0.980880
158.5470136400 -0.108130 -0.223531  0.481119 0.029516 -0.027613 -0.184752 0.981954
158.6470954900 -0.138717 -0.217719  0.554337 0.029082 -0.050472 -0.185724 0.980874
158.7474016600 -0.177881 -0.211826  0.645298 0.027182 -0.081358 -0.190012 0.978027
158.8476667700 -0.211278 -0.210963  0.730325 0.022595 -0.106297 -0.193278 0.975107
158.9477889600 -0.226120 -0.201915  0.789770 0.014791 -0.115521 -0.195147 0.973835
159.0477448800 -0.214042 -0.201910  0.789804 0.005032 -0.109853 -0.195205 0.974578
159.1475900700 -0.185391 -0.206705  0.723338 0.003765 -0.093716 -0.194832 0.976342
159.2474650700 -0.161289 -0.218116  0.637375 0.013698 -0.076052 -0.195306 0.977693
159.3473355800 -0.143771 -0.237219  0.572543 0.026647 -0.059849 -0.195344 0.978544
159.4471240400 -0.125258 -0.245641  0.521039 0.033032 -0.043148 -0.193084 0.979676
159.5469123100 -0.114259 -0.246058  0.462340 0.034091 -0.029845 -0.190028 0.980733
159.6468206100 -0.111063 -0.252146  0.404121 0.039304 -0.017046 -0.188563 0.981126
159.7469260900 -0.109524 -0.259324  0.397697 0.046151 -0.006664 -0.188311 0.981002
159.8470247100 -0.107531 -0.252811  0.432708 0.042814 -0.002789 -0.187095 0.981404
159.9471445300 -0.116964 -0.234111  0.481385 0.028077 -0.010079 -0.187546 0.981803
